simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
356	5.835792E+07	2.516343E+04	1.070712E+07	6.810126E+05	4.000727E+04	7.461833E+05	8.680698E+05	5.717645E+06	1.141786E+06	8.029466E+05	2.176589E+06
357	5.849408E+07	2.383418E+04	1.055473E+07	6.991387E+05	3.618065E+04	7.591535E+05	1.559675E+05	7.285953E+06	5.317500E+05	7.983221E+05	1.782684E+06
358	5.827854E+07	2.276284E+04	1.116937E+07	3.187053E+05	2.007053E+04	3.615387E+05	1.953763E+05	6.798305E+06	2.012350E+06	3.126200E+05	1.850652E+06
359	5.838584E+07	2.492152E+04	1.054935E+07	8.064384E+05	4.517335E+04	8.765333E+05	5.501761E+05	5.621063E+06	1.902122E+06	1.151673E+06	1.324266E+06
360	5.839863E+07	2.571111E+04	1.059827E+07	7.431514E+05	4.297566E+04	8.118382E+05	7.478295E+05	6.679711E+06	1.278647E+06	4.001897E+05	1.491835E+06
361	5.831206E+07	2.181108E+04	1.118446E+07	2.745691E+05	1.676668E+04	3.131469E+05	3.686099E+05	6.561314E+06	1.932135E+06	4.997881E+05	1.822546E+06
362	5.833683E+07	2.487378E+04	1.073302E+07	6.728808E+05	4.051753E+04	7.382721E+05	6.318175E+05	6.765264E+06	2.865981E+06	2.551294E+05	2.148107E+05
363	5.832217E+07	2.442171E+04	1.077615E+07	6.479140E+05	3.837887E+04	7.107146E+05	9.194828E+04	6.882377E+06	2.936803E+06	4.324086E+05	4.325969E+05
364	5.830952E+07	2.088533E+04	1.124424E+07	2.200464E+05	1.322442E+04	2.541561E+05	4.291620E+05	6.914992E+06	3.220778E+06	2.968651E+05	3.824243E+05
365	5.812225E+07	2.828363E+04	1.067270E+07	9.306441E+05	6.170035E+04	1.020628E+06	2.904031E+05	4.606346E+06	2.846516E+06	1.045528E+06	1.883831E+06
366	5.832917E+07	2.796182E+04	1.041107E+07	9.847501E+05	5.862000E+04	1.071332E+06	5.310353E+05	5.858282E+06	1.558144E+06	7.221824E+05	1.741364E+06
367	5.838475E+07	2.492567E+04	1.079979E+07	5.646649E+05	3.383797E+04	6.234286E+05	9.421118E+05	6.872601E+06	8.551760E+05	1.452605E+05	1.984565E+06
368	5.834934E+07	2.254006E+04	1.085924E+07	5.477856E+05	3.111781E+04	6.014435E+05	2.661039E+05	6.278672E+06	3.216251E+06	8.635203E+05	2.346839E+05
369	5.803702E+07	2.666132E+04	1.105085E+07	6.543439E+05	4.616740E+04	7.271727E+05	7.558960E+05	4.206505E+06	3.205118E+06	9.337629E+05	1.949486E+06
370	5.844936E+07	2.734842E+04	1.014395E+07	1.130375E+06	6.049838E+04	1.218222E+06	4.455993E+05	5.768724E+06	1.146673E+06	1.277720E+06	1.505179E+06
371	5.811837E+07	2.518397E+04	1.115116E+07	4.820448E+05	3.365407E+04	5.408829E+05	7.014669E+05	5.740825E+06	3.231787E+06	2.436660E+05	1.233364E+06
372	5.811060E+07	2.835246E+04	1.068058E+07	9.318193E+05	6.297344E+04	1.023145E+06	3.645579E+05	4.881506E+06	3.187529E+06	8.218538E+05	1.425072E+06
373	5.823059E+07	2.481637E+04	1.083301E+07	6.849700E+05	4.145439E+04	7.512407E+05	3.902544E+04	5.004294E+06	2.551164E+06	1.305864E+06	1.932598E+06
374	5.839382E+07	2.135598E+04	1.105237E+07	3.203041E+05	1.822106E+04	3.598812E+05	2.149798E+05	7.801985E+06	2.770997E+06	1.369046E+05	1.274969E+05
375	5.837322E+07	2.474515E+04	1.060467E+07	7.654252E+05	4.356472E+04	8.337350E+05	7.075369E+05	5.539497E+06	2.040690E+06	1.079196E+06	1.237705E+06
376	5.850216E+07	2.433774E+04	1.044461E+07	7.977464E+05	4.140463E+04	8.634887E+05	8.673056E+05	5.894587E+06	2.988096E+05	1.261557E+06	2.122273E+06
377	5.837568E+07	2.617350E+04	1.046004E+07	8.987619E+05	5.157704E+04	9.765124E+05	9.279960E+05	5.225193E+06	1.619676E+06	1.115055E+06	1.572059E+06
378	5.850984E+07	2.111434E+04	1.066388E+07	5.845072E+05	2.873769E+04	6.343593E+05	4.777721E+04	6.952568E+06	2.254493E+06	1.241264E+06	1.677674E+05
379	5.827106E+07	2.493802E+04	1.089348E+07	5.820069E+05	3.704860E+04	6.439935E+05	7.809901E+05	6.485288E+06	2.838628E+06	1.459051E+05	6.426344E+05
380	5.843281E+07	2.147547E+04	1.097876E+07	3.552522E+05	1.953522E+04	3.962629E+05	1.143471E+05	7.414613E+06	1.025262E+06	5.545787E+05	1.869901E+06
381	5.848366E+07	2.065524E+04	1.087512E+07	4.075670E+05	2.093078E+04	4.491531E+05	3.559457E+05	6.991081E+06	1.623589E+06	9.196845E+05	9.847881E+05
382	5.832747E+07	2.004787E+04	1.130394E+07	1.473170E+05	8.659814E+03	1.760247E+05	6.995910E+05	6.811524E+06	3.326431E+06	3.028932E+05	1.634916E+05
383	5.856289E+07	2.421296E+04	1.026849E+07	9.087645E+05	4.373443E+04	9.767119E+05	1.452866E+05	7.001714E+06	5.127125E+05	1.299242E+06	1.309491E+06
384	5.847555E+07	2.256891E+04	1.064746E+07	6.308133E+05	3.287949E+04	6.862617E+05	5.093699E+05	6.402091E+06	1.606343E+06	1.105298E+06	1.024322E+06
385	5.832590E+07	2.076801E+04	1.119396E+07	2.541301E+05	1.473856E+04	2.896367E+05	2.024387E+05	6.610432E+06	2.715073E+06	6.468077E+05	1.019169E+06
386	5.839683E+07	2.129931E+04	1.104441E+07	3.272739E+05	1.859565E+04	3.671688E+05	6.966969E+05	6.673148E+06	2.025738E+06	5.649557E+05	1.083826E+06
387	5.840806E+07	2.308085E+04	1.079026E+07	5.552054E+05	3.138440E+04	6.096706E+05	6.901431E+05	6.779559E+06	2.425574E+06	5.019961E+05	3.929728E+05
388	5.840667E+07	2.052480E+04	1.113111E+07	2.356786E+05	1.335039E+04	2.695537E+05	4.829415E+05	7.221402E+06	2.045452E+06	4.025341E+05	9.787408E+05
389	5.818966E+07	2.680809E+04	1.072506E+07	8.192457E+05	5.277043E+04	8.988242E+05	5.031030E+05	5.062717E+06	2.874666E+06	8.769761E+05	1.407542E+06
390	5.833135E+07	2.597976E+04	1.074698E+07	6.640130E+05	4.050664E+04	7.304994E+05	5.505671E+05	6.832596E+06	1.370462E+06	1.742243E+05	1.819060E+06
391	5.851149E+07	2.462652E+04	1.034718E+07	8.807425E+05	4.445517E+04	9.498242E+05	9.676197E+04	6.998980E+06	1.031882E+06	1.070487E+06	1.149033E+06
392	5.843459E+07	2.252424E+04	1.079922E+07	5.242199E+05	2.878734E+04	5.755315E+05	8.149924E+05	6.258650E+06	1.580850E+06	8.556928E+05	1.288984E+06
393	5.823012E+07	2.873014E+04	1.035355E+07	1.132227E+06	7.039721E+04	1.231354E+06	3.809252E+05	4.719868E+06	2.713057E+06	1.202744E+06	1.336902E+06
394	5.826079E+07	2.881256E+04	1.032071E+07	1.135678E+06	6.897862E+04	1.233469E+06	3.415998E+05	4.802073E+06	2.197042E+06	1.247488E+06	1.732448E+06
395	5.836722E+07	2.674872E+04	1.046015E+07	9.046296E+05	5.278092E+04	9.841592E+05	9.448973E+05	5.506561E+06	1.469304E+06	8.826301E+05	1.656694E+06
396	5.842735E+07	2.417598E+04	1.065550E+07	6.648817E+05	3.670846E+04	7.257661E+05	3.654731E+05	6.925813E+06	1.429161E+06	6.165069E+05	1.318501E+06
397	5.849936E+07	2.174045E+04	1.080229E+07	4.594524E+05	2.412872E+04	5.053216E+05	6.021925E+05	7.289961E+06	1.074713E+06	6.197476E+05	1.215629E+06
398	5.837621E+07	2.391753E+04	1.071017E+07	6.614634E+05	3.770821E+04	7.230892E+05	4.527541E+05	6.439955E+06	2.576161E+06	7.047590E+05	5.365133E+05
