simul	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
509	5.886735E+07	2.542323E+04	1.021580E+07	6.589364E+05	4.128453E+04	7.256442E+05	4.977691E+05	6.809599E+06	2.218665E+06	1.381535E+05	5.515914E+05
510	5.915576E+07	2.431770E+04	1.012974E+07	4.707082E+05	3.002563E+04	5.250515E+05	7.533509E+05	6.263834E+06	8.905985E+05	3.469092E+05	1.874972E+06
511	6.005135E+07	2.396852E+04	9.215598E+06	4.892048E+05	3.126143E+04	5.444347E+05	5.681814E+05	6.241291E+06	8.723510E+05	4.291058E+05	1.104619E+06
512	5.850891E+07	2.731863E+04	1.034069E+07	8.802877E+05	5.389472E+04	9.615010E+05	2.406023E+05	6.273987E+06	1.890937E+06	5.168712E+05	1.418234E+06
513	5.802341E+07	2.396137E+04	1.132190E+07	4.135385E+05	2.639149E+04	4.638914E+05	6.927826E+05	6.415377E+06	2.139534E+06	2.414657E+05	1.832666E+06
514	5.936539E+07	2.442440E+04	9.654233E+06	7.243071E+05	4.312700E+04	7.918585E+05	4.941869E+05	5.896611E+06	2.195707E+06	8.406103E+05	2.271053E+05
515	6.038613E+07	2.348331E+04	8.796819E+06	5.703995E+05	3.475074E+04	6.286335E+05	5.769979E+05	6.057739E+06	1.214664E+06	6.871211E+05	2.602816E+05
516	6.051422E+07	2.484427E+04	8.507468E+06	7.209625E+05	4.411284E+04	7.899196E+05	1.748387E+05	6.402826E+06	1.159228E+06	6.115668E+05	1.590002E+05
517	5.665076E+07	2.733017E+04	1.211587E+07	9.618469E+05	5.639164E+04	1.045569E+06	6.796067E+05	4.976624E+06	3.509639E+06	1.118355E+06	1.831583E+06
518	5.835283E+07	2.729680E+04	1.054766E+07	8.318318E+05	5.085697E+04	9.099855E+05	5.207784E+05	6.283514E+06	1.475529E+06	4.169964E+05	1.850768E+06
519	6.059241E+07	2.128112E+04	9.007321E+06	1.771008E+05	1.159962E+04	2.099816E+05	6.364144E+05	6.708224E+06	1.021587E+06	1.781375E+05	4.629332E+05
520	5.833545E+07	2.606003E+04	1.058723E+07	8.119257E+05	4.902595E+04	8.870116E+05	9.004315E+05	6.066344E+06	2.487034E+06	4.969414E+05	6.364463E+05
521	5.975748E+07	2.231252E+04	9.697682E+06	3.120462E+05	1.994385E+04	3.543025E+05	1.242270E+05	6.980921E+06	2.021157E+06	1.932487E+05	3.781116E+05
522	6.017081E+07	2.207648E+04	9.307061E+06	2.921214E+05	1.871338E+04	3.329113E+05	6.829848E+05	6.286209E+06	1.118379E+06	4.038546E+05	8.155937E+05
523	5.880470E+07	2.272928E+04	1.050571E+07	4.504144E+05	2.734116E+04	5.004848E+05	6.988805E+05	5.855542E+06	2.462241E+06	7.079381E+05	7.810708E+05
524	5.976137E+07	2.083234E+04	9.814532E+06	2.011754E+05	1.241749E+04	2.344252E+05	1.640537E+05	6.596607E+06	2.259506E+06	4.568939E+05	3.374563E+05
525	6.075952E+07	2.362208E+04	8.458886E+06	5.389297E+05	3.363092E+04	5.961827E+05	3.206182E+04	5.760377E+06	4.486825E+05	9.531230E+05	1.264589E+06
526	5.862147E+07	2.290117E+04	1.086602E+07	2.798714E+05	1.851577E+04	3.212884E+05	8.504683E+05	6.576898E+06	1.665848E+06	1.078707E+05	1.664862E+06
527	5.758762E+07	2.541099E+04	1.133484E+07	8.167554E+05	4.751280E+04	8.896792E+05	7.918895E+05	5.095744E+06	3.027826E+06	1.144064E+06	1.275267E+06
528	5.975095E+07	2.163861E+04	9.522757E+06	4.890814E+05	2.819232E+04	5.389124E+05	7.601511E+05	5.263219E+06	2.181876E+06	1.211012E+06	1.064894E+05
529	6.095613E+07	2.317186E+04	8.293662E+06	5.080359E+05	3.145142E+04	5.626592E+05	4.820468E+04	6.340907E+06	8.403146E+05	6.710255E+05	3.931930E+05
530	5.564312E+07	2.841183E+04	1.289444E+07	1.182141E+06	6.527797E+04	1.275831E+06	6.849874E+05	4.189390E+06	4.047180E+06	1.691413E+06	2.281403E+06
531	5.743821E+07	2.788713E+04	1.128867E+07	9.982135E+05	5.873890E+04	1.084839E+06	8.935733E+05	5.243903E+06	2.343196E+06	9.240041E+05	1.883925E+06
532	5.608233E+07	2.890163E+04	1.249642E+07	1.140001E+06	6.509554E+04	1.233999E+06	8.057855E+05	4.536283E+06	3.400320E+06	1.336283E+06	2.417668E+06
533	6.090781E+07	2.181544E+04	8.522666E+06	3.386658E+05	2.098218E+04	3.814634E+05	6.710340E+05	6.023100E+06	6.921987E+05	6.433589E+05	4.929474E+05
534	6.005842E+07	2.025822E+04	9.585236E+06	1.375672E+05	8.338873E+03	1.661643E+05	2.954502E+05	6.675536E+06	2.132747E+06	3.852111E+05	9.628500E+04
535	5.955192E+07	2.308000E+04	9.704849E+06	5.015835E+05	3.059073E+04	5.552542E+05	2.647022E+05	6.005653E+06	1.929851E+06	7.784730E+05	7.261391E+05
